begin,end,origin
1997-9-3 13:40,1997-9-3 20:40,Chinchilla
1997-9-18 3:53,1997-9-20 0:03,Chinchilla
1997-9-21 22:05,1997-9-22 17:28,Chinchilla
1997-10-10 22:00,1997-10-11 23:19,Chinchilla
1997-11-7 5:31,1997-11-8 22:47,Chinchilla
1997-11-22 18:56,1997-11-23 18:25,Chinchilla
1997-12-10 18:39,1997-12-12 23:51,Chinchilla
1997-12-30 9:48,1997-12-31 8:40,Chinchilla
1998-1-7 2:50,1998-1-8 9:18,Chinchilla
1998-1-21 5:07,1998-1-22 13:39,Chinchilla
1998-1-29 13:08,1998-1-31 16:02,Chinchilla
1998-2-2 7:42,1998-2-4 2:35,Chinchilla
1998-2-4 4:35,1998-2-6 8:05,Chinchilla
1998-2-17 10:23,1998-2-17 20:37,Chinchilla
1998-2-18 3:34,1998-2-18 14:40,Chinchilla
1998-2-18 21:35,1998-2-20 0:44,Chinchilla
1998-3-4 14:41,1998-3-5 20:40,Chinchilla
1998-3-6 12:10,1998-3-7 12:07,Chinchilla
1998-3-25 14:10,1998-3-26 8:58,Chinchilla
1998-3-31 11:59,1998-4-1 17:40,Chinchilla
1998-4-1 21:07,1998-4-2 20:23,Chinchilla
1998-5-2 3:34,1998-5-3 17:00,Chinchilla
1998-5-4 10:15,1998-5-7 12:52,Chinchilla
1998-6-2 10:28,1998-6-2 19:05,Chinchilla
1998-6-24 12:53,1998-6-25 16:15,Chinchilla
1998-7-11 1:00,1998-7-12 21:35,Chinchilla
1998-8-10 4:47,1998-8-10 22:31,Chinchilla
1998-8-20 9:00,1998-8-21 20:25,Chinchilla
1998-8-26 21:56,1998-8-28 0:50,Chinchilla
1998-9-23 4:19,1998-9-23 17:53,Chinchilla
1998-9-25 6:20,1998-9-26 16:32,Chinchilla
1998-10-19 4:23,1998-10-20 7:11,Chinchilla
1998-10-23 19:55,1998-10-24 19:00,Chinchilla
1998-11-7 22:21,1998-11-10 2:47,Chinchilla
1999-1-22 20:21,1999-1-23 14:49,Chinchilla
1999-2-11 17:41,1999-2-12 2:20,Chinchilla
1999-2-18 12:20,1999-2-19 8:15,Chinchilla
1999-5-28 21:48,1999-5-30 10:47,Chinchilla
1999-7-3 8:00,1999-7-5 14:00,Chinchilla
1999-7-6 19:27,1999-7-7 16:47,Chinchilla
1999-8-9 10:20,1999-8-10 18:41,Chinchilla
1999-9-21 18:57,1999-9-22 11:31,Chinchilla
1999-9-22 19:26,1999-9-23 9:25,Chinchilla
1999-12-12 19:54,1999-12-13 16:13,Chinchilla
2000-2-12 12:35,2000-2-13 0:35,Chinchilla
2000-2-14 14:00,2000-2-15 15:34,Chinchilla
2000-2-21 13:21,2000-2-22 13:45,Chinchilla
2000-3-1 3:29,2000-3-2 3:07,Chinchilla
2000-5-7 7:24,2000-5-8 6:49,Chinchilla
2000-6-8 17:00,2000-6-10 1:15,Chinchilla
2000-6-24 7:45,2000-6-25 23:59,Chinchilla
2000-7-1 8:40,2000-7-2 3:42,Chinchilla
2000-7-11 22:35,2000-7-13 4:33,Chinchilla
2000-7-13 15:35,2000-7-14 15:20,Chinchilla
2000-7-15 14:19,2000-7-16 13:19,Chinchilla
2000-7-19 15:30,2000-7-21 6:27,Chinchilla
2000-7-28 13:03,2000-7-29 10:06,Chinchilla
2000-7-31 23:20,2000-8-1 12:55,Chinchilla
2000-8-10 20:46,2000-8-11 18:51,Chinchilla
2000-8-12 6:21,2000-8-13 22:50,Chinchilla
2000-9-2 23:16,2000-9-3 23:00,Chinchilla
2000-9-4 13:13,2000-9-6 17:00,Chinchilla
2000-9-7 3:24,2000-9-8 14:23,Chinchilla
2000-9-17 23:26,2000-9-21 8:37,Chinchilla
2000-10-3 8:00,2000-10-5 3:35,Chinchilla
2000-10-5 18:51,2000-10-6 19:52,Chinchilla
2000-10-13 17:24,2000-10-14 19:02,Chinchilla
2000-10-28 23:18,2000-10-31 0:40,Chinchilla
2000-11-6 22:34,2000-11-8 3:00,Chinchilla
2000-11-10 11:07,2000-11-11 4:11,Chinchilla
2000-11-11 4:11,2000-11-11 23:59,Chinchilla
2000-11-26 19:52,2000-11-28 5:26,Chinchilla
2000-12-3 3:59,2000-12-4 16:53,Chinchilla
2001-1-24 9:09,2001-1-25 15:07,Chinchilla
2001-3-19 18:55,2001-3-21 23:59,Chinchilla
2001-4-4 20:54,2001-4-5 8:23,Chinchilla
2001-4-11 22:54,2001-4-13 7:26,Chinchilla
2001-4-13 13:15,2001-4-14 1:40,Chinchilla
2001-4-22 0:12,2001-4-23 17:00,Chinchilla
2001-4-28 15:47,2001-5-2 5:00,Chinchilla
2001-5-28 4:45,2001-5-30 11:05,Chinchilla
2001-8-6 7:13,2001-8-6 23:00,Chinchilla
2001-8-17 23:59,2001-8-18 19:12,Chinchilla
2001-9-26 10:16,2001-9-26 15:48,Chinchilla
2001-9-29 14:03,2001-9-30 19:14,Chinchilla
2001-9-30 22:57,2001-10-1 21:56,Chinchilla
2001-10-22 1:17,2001-10-23 1:29,Chinchilla
2001-10-31 22:04,2001-11-2 5:27,Chinchilla
2001-11-24 15:45,2001-11-25 16:37,Chinchilla
2001-12-30 3:43,2001-12-30 19:14,Chinchilla
2001-12-30 23:12,2001-12-31 15:02,Chinchilla
2002-2-28 19:05,2002-3-1 23:16,Chinchilla
2002-3-19 6:24,2002-3-20 14:47,Chinchilla
2002-3-24 12:12,2002-3-25 21:22,Chinchilla
2002-4-14 14:38,2002-4-15 3:41,Chinchilla
2002-4-17 21:36,2002-4-19 8:28,Chinchilla
2002-4-20 6:57,2002-4-21 21:08,Chinchilla
2002-4-24 6:49,2002-4-24 15:42,Chinchilla
2002-5-10 22:20,2002-5-11 10:31,Chinchilla
2002-5-11 12:37,2002-5-11 20:15,Chinchilla
2002-5-19 3:22,2002-5-20 3:34,Chinchilla
2002-5-20 17:24,2002-5-21 21:15,Chinchilla
2002-5-23 23:10,2002-5-25 17:42,Chinchilla
2002-7-18 13:11,2002-7-19 9:45,Chinchilla
2002-8-1 16:06,2002-8-1 23:08,Chinchilla
2002-8-2 7:12,2002-8-2 22:47,Chinchilla
2002-8-19 19:38,2002-8-21 17:59,Chinchilla
2002-8-26 14:20,2002-8-27 11:03,Chinchilla
2002-9-30 21:57,2002-10-1 20:09,Chinchilla
2002-11-17 8:00,2002-11-19 0:40,Chinchilla
2002-12-21 7:16,2002-12-22 19:11,Chinchilla
2003-1-26 21:27,2003-1-27 16:00,Chinchilla
2003-2-2 18:42,2003-2-3 10:08,Chinchilla
2003-3-20 12:30,2003-3-20 22:52,Chinchilla
2003-8-5 1:10,2003-8-6 2:15,Chinchilla
2003-11-20 11:26,2003-11-21 2:01,Chinchilla
2004-4-4 1:11,2004-4-5 20:22,Chinchilla
2004-7-22 13:31,2004-7-24 5:32,Chinchilla
2004-7-24 11:55,2004-7-25 12:00,Chinchilla
2004-7-25 17:45,2004-7-26 22:00,Chinchilla
2004-7-27 3:45,2004-7-27 15:23,Chinchilla
2004-8-29 19:00,2004-8-30 21:45,Chinchilla
2004-9-14 17:02,2004-9-15 14:23,Chinchilla
2004-9-18 12:28,2004-9-19 16:35,Chinchilla
2004-11-7 22:32,2004-11-9 9:21,Chinchilla
2004-11-9 20:31,2004-11-11 16:42,Chinchilla
2004-11-12 8:57,2004-11-13 8:10,Chinchilla
2004-12-10 4:47,2004-12-10 21:35,Chinchilla
2005-1-7 15:06,2005-1-8 15:14,Chinchilla
